name,surnames
WILLIAM,A'Beckett
JOHN,A'Court
GEORGE,Abbiss
THOMAS,Abbitt
ARTHUR,Abbs
JAMES,Abernathy
CHARLES,Abernethy
FREDERICK,Absalom
ALBERT,Adair
ERNEST,Adams
ALFRED,Addinall
EDWARD,Affleck
JOSEPH,Agar-Ellis
HAROLD,Agnew
ROBERT,Aiken
FRANK,Aikenhead
HENRY,Ainslie
HARRY,Aitchison
WALTER,Aitken
REGINALD,Aiton
HERBERT,Akins
LEONARD,Alan
STANLEY,Alderdice
LESLIE,Aldrich
RICHARD,Allan
CYRIL,Allardice
SIDNEY,Allen
FRANCIS,Allenby
PERCY,Alleway
DAVID,Allwright
WILFRED,Ambler
SAMUEL,Anderson
NORMAN,Angove
CECIL,Angwin
ERIC,Annand
SYDNEY,Anquetil
HORACE,Anstey
FRED,Arbuthnot
JACK,Ard
EDWIN,Arden
RONALD,Arkwright
ALEXANDER,Armour
CLIFFORD,Armstrong
PATRICK,Arnott
BERNARD,Arthur
MICHAEL,Artley
VICTOR,Asher
PHILIP,Astley
EDGAR,Attenborough
MAURICE,Auber
DONALD,Aubert
KENNETH,Auchincloss
BENJAMIN,Auchmuty
DOUGLAS,Auchterlonie
HUGH,Auffray
LAWRENCE,Ayers
DANIEL,Aytoun
GEOFFREY,Babcock
PETER,Babel
ARCHIBALD,Bagnall-Oakeley
CHRISTOPHER,Bailey
ALAN,Baillie-Hamilton
TOM,Baines
GILBERT,Baird
HUBERT,Baker
RALPH,Balderson
STEPHEN,Baldridge
GERALD,Balfour
BERTIE,Bamford
LEWIS,Bampfylde
ANDREW,Bannerman
PERCIVAL,Baragwanath
RAYMOND,Barclay
BERTRAM,Barleycorn
ARNOLD,Barnardiston
EDMUND,Barnett
CLARENCE,Barry
LOUIS,Baskerville
IVOR,Bason
ROLAND,Batley
MARK,Battley
GORDON,Baxendale
CLAUDE,Beaglehole
MATTHEW,Beale
MARTIN,Beaman
LIONEL,Beaton
DENNIS,Beattie
EVAN,Beaumont
HECTOR,Beckley
ALEC,Beddington
ANTHONY,Beddoe
ALLAN,Belk
OLIVER,Bell
OWEN,Bellamy
HOWARD,Bellhouse
COLIN,Bellingham
MORRIS,Bennett
DENIS,Benson
LAURENCE,Bérubé
JESSE,Best
WILLIAM,Bethune
ROY,Bettencourt
DEREK,Beveridge
DESMOND,Beverly
BRIAN,Bidault
TERENCE,Biggar
KEITH,Bigham
MALCOLM,Binney
GRAHAM,Birney
BARRY,Birtwistle
IAN,Bishop
BRYAN,Bisset
TREVOR,Black
PAUL,Blackett-Ord
ROGER,Blackham
RODNEY,Blackie
CLIVE,Blackmore
JEFFREY,Blackwood
STUART,Blanchfield
ROBIN,Blanton
KEVIN,Blevins
STEVEN,Block
NIGEL,Bloomfield
GARY,Bluck
NICHOLAS,Blyth
TIMOTHY,Bodrugan
NEIL,Boleyn
JONATHAN,Bolitho
SIMON,Bollin
ADRIAN,Bonar
MOHAMMED,Bonham
PHILLIP,Bonham Carter
SEAN,Boobyer
CARL,Borland
WAYNE,Borthwick
SHAUN,Boson
DEAN,Bossence
ANTONY,Bostridge
JEREMY,Boswell
LEE,Botting
RUSSELL,Bourgault
CRAIG,Bovey
JULIAN,Bowell
KARL,Bowen
DARREN,Bowers
JASON,Bowie
SCOTT,Bowles
ADAM,Boyack
JAMIE,Boyd
GARETH,Boyle
JUSTIN,Boynton
CHRISTIAN,Braithwaite
MARC,Brambell
NATHAN,Breathnach
DAMIAN,Brebeuf
SHANE,Bridges
RYAN,Briggs
LUKE,Brigman
BEN,Bristow
ASHLEY,Brokenshire
AARON,Brooks
GAVIN,Broomfield
LIAM,Brown
ROSS,Bruce
JOSHUA,Brunton
JORDAN,Brydone
JAKE,Buchan
CONNOR,Buchanan
CALLUM,Buckby
BRADLEY,Buckley
JACOB,Buffett
KIERAN,Buglass
SAM,Buist
KYLE,Buller
ALEX,Bulman
DOMINIC,Burbidge
JOE,Burnouf
REECE,Burns
RHYS,Burrage
CHARLIE,Burridge
DALE,Bush
CAMERON,Butler
MARY,Butterfill
FLORENCE,Byers
DORIS,Bysshe
EDITH,Cachia
DOROTHY,Cadogan
ANNIE,Cadwaladr
MARGARET,Cadwallader
ALICE,Caird
ELIZABETH,Calder
ELSIE,Calderwood
GLADYS,Calle
WINIFRED,Callender
ETHEL,Callum
HILDA,Calnan
LILIAN,Calvert
IVY,Cameron
VIOLET,Camidge
KATHLEEN,Campbell
ELLEN,Campbell-Bannerman
LILY,Campion
SARAH,Candlish
NELLIE,Canfield
EMILY,Caomhánach
MABEL,Carberry
ADA,Carden
BEATRICE,Cardy
MARJORIE,Carew
MAY,Carey
ROSE,Cargill
OLIVE,Carling
EVELYN,Carmichael
PHYLLIS,Carr-Gomm
GERTRUDE,Carruthers
CATHERINE,Carson
AGNES,Carteret
JESSIE,Cathcart
FRANCES,Chaloner
GRACE,Charteris
IRENE,Chatfield-Taylor
EVA,Cheever
CONSTANCE,Cheney
EDNA,Chenoweth
JANE,Cheyne
AMY,Chichester-Clark
VERA,Childers
MURIEL,Chisholm
DAISY,Cholmondeley
MINNIE,Christie
MAUD,Churchill
LUCY,Chynoweth
EMMA,Clague
ELEANOR,Clan Pringle
LOUISA,Clark
DORA,Clarke
NORA,Clay
GWENDOLINE,Cleese
HELEN,Cleghorn
IDA,Cleland
CLARA,Clerk
HANNAH,Clinton
ANNE,Cluett
NORAH,Clutterbuck
KATE,Clutton-Brock
MARTHA,Coates
BERTHA,Coburn
LILLIAN,Cochrane
ANN,Cockburn
MARION,Coe
BESSIE,Coffin
EILEEN,Colbeck
LAURA,Colborn
MILDRED,Cole
RUTH,Coleman
ISABELLA,Colenso
